68	SM	SM8	0.159666667	13.51020976	4.680599175	2.9	0.465869302	0.001028844
69	Wh	Wh6	0.191	7.498815226	2.935659319	0	0.416600846	0.606539594
70	MC	MC15	0.233	6.964652712	2.016576933	-2.6	0.224666217	0.82360364
71	BT	BT17	0.213	2.451408658	5.829483075	3.1	0.175100618	1.026796151
72	Ga	Ga1	0.287666667	6.070260192	3.1897976	2.3	0.233471546	0.851542128
73	Wh	Wh13	NA	NA	0	NA	NA	NA
74	MC	MC12	0.209666667	0.513627699	1.438509046	4.7	0.128406925	0.757216078
75	SA	SA7	0.236333333	2.834374144	0.058850472	-0.5	0.149177587	0.920510745
76	Tf	Tf10	0.203666667	3.950347397	1.039155638	0.5	0.232373376	0.46803345
77	Ha	Ha6	0.250666667	6.804545753	2.893393575	2.2	0.183906642	0.480622246
78	MC	MC2	0.176	3.670947863	1.553993888	4.3	0.193207782	0.534116011
79	Mu	Mu3	0.226333333	7.266952815	0.1052505	1.7	0.1912356	0.81251686
80	BT	BT11	0.140666667	2.165544521	1.959139364	3	0.240616058	0.903740671
81	Ha	Ha6	0.272333333	6.109671699	2.688429	2.9	0.27771235	0.503776639
82	Ca	Ca9	0.126	5.950294575	0.253704361	2.9	0.25870846	0.711177052
83	Wh	Wh13	NA	NA	0	NA	NA	NA
84	MC	MC14	0.246333333	2.136726432	2.285275174	7.8	0.427345286	0.885127237
85	SB	SB1	0.189333333	6.166232685	1.376015325	0	0.246649307	0.978644007
86	Wh	Wh4	0.181333333	2.246209562	1.000435516	-1.1	0.224620956	0.475721608
87	SH	SH2	0.235666667	12.75589336	2.532230517	5	0.554604059	0.711177052
88	MC	MC8	0.193	NA	0.812175919	7.2	NA	0.642253394
89	Ha	Ha10	0.396333333	10.63167123	5.216450775	1.5	0.366609353	0.312566473
90	MC	MC4	0.194666667	8.744778822	1.312522797	3.3	0.546548676	1.172466505
91	SA	SA10	0.238	2.951154164	1.016907539	-0.5	0.173597304	0.478319561
92	BT	BT6	0.163	4.028696979	2.691902339	2.4	0.125896781	0.795549374
93	Ha	Ha14	0.417333333	8.287090582	4.55544	3.8	0.295967521	0.726418488
94	SH	SH4	0.203	7.056092938	1.624265794	3.7	0.24331355	1.003282079
